,line,price,from,to,trans,min,lat,lng
288,東京メトロ日比谷線,16.7,南千住,渋谷,1,38,35.7331617,139.7989223
289,東京メトロ日比谷線,14.3,北千住,渋谷,0,42,35.7496762,139.8053433
290,東京メトロ東西線,17.2,中野,渋谷,0,45,35.7057972,139.6657777
291,東京メトロ東西線,17.0,落合,渋谷,1,21,35.7106227,139.6861327
292,東京メトロ東西線,17.2,門前仲町,渋谷,1,26,35.6720326,139.7956907
293,東京メトロ東西線,15.2,木場,渋谷,1,28,35.6693678,139.8067878
294,東京メトロ東西線,15.6,東陽町,渋谷,1,29,35.6696241,139.8177096
295,東京メトロ東西線,14.2,南砂町,渋谷,1,33,35.6686978,139.8308161
296,東京メトロ東西線,11.8,西葛西,渋谷,1,36,35.664577,139.8592032
297,東京メトロ東西線,11.5,葛西,渋谷,1,38,35.6635395,139.8726529
298,東京メトロ東西線,11.3,浦安,渋谷,1,37,35.6658833,139.8932558
299,東京メトロ東西線,10.0,南行徳,渋谷,1,43,35.672716,139.902227
300,東京メトロ東西線,10.0,行徳,渋谷,1,45,35.682604,139.914142
301,東京メトロ東西線,10.8,妙典,渋谷,1,47,35.6914851,139.9248953
302,東京メトロ東西線,9.5,原木中山,渋谷,1,50,35.7033579,139.9418925
303,東京メトロ東西線,9.5,西船橋,渋谷,1,44,35.7074443,139.9590775
304,東京メトロ千代田線,18.6,千駄木,渋谷,1,28,35.725483,139.7632433
305,東京メトロ千代田線,17.2,西日暮里,渋谷,0,27,35.7324125,139.7677967
306,東京メトロ千代田線,15.1,町屋,渋谷,1,36,35.7427846,139.7809419
307,東京メトロ千代田線,14.3,北千住,渋谷,0,42,35.7496762,139.8053433
308,東京メトロ千代田線,10.4,綾瀬,渋谷,1,39,35.762315,139.824924
309,東京メトロ千代田線,10.2,北綾瀬,渋谷,1,47,35.7770135,139.8321012
310,東京メトロ有楽町線,19.8,新木場,渋谷,0,27,35.6459065,139.8267917
311,東京メトロ有楽町線,19.5,護国寺,渋谷,1,20,35.7189737,139.7275081
312,東京メトロ有楽町線,19.6,池袋,渋谷,0,11,35.7295028,139.7109001
313,東京メトロ有楽町線,17.0,要町,渋谷,0,22,35.7331846,139.6989819
314,東京メトロ有楽町線,13.7,千川,渋谷,0,24,35.7382658,139.6893487
315,東京メトロ有楽町線,12.5,小竹向原,渋谷,0,16,35.74334109999999,139.6795208
